Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z,Winning Percentage,Playoff outcome,previous_winning_percentage,average_future_winning_percentage_2,average_future_winning_percentage_3,average_future_winning_percentage_4,average_future_winning_percentage_5,average_future_winning_percentage_6,average_future_winning_percentage_8,average_future_winning_percentage_10,average_future_winning_percentage_12,average_future_playoff_success_2,average_future_playoff_success_3,average_future_playoff_success_4,average_future_playoff_success_5,average_future_playoff_success_6,average_future_playoff_success_8,average_future_playoff_success_10,average_future_playoff_success_12,change_in_winning_percentage_2,change_in_winning_percentage_3,change_in_winning_percentage_4,change_in_winning_percentage_5,change_in_winning_percentage_6,change_in_winning_percentage_8,change_in_winning_percentage_10,change_in_winning_percentage_12
MIA,2019,13,13,0,10.0,12.5530157908683,0.04761974487811947,-0.4469842091316991,2.2389841376230635,-0.19963705933451753,0.603,4,0.476,0.5795,0.6016666666666667,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,2.5,2.6666666666666665,3.0,3.0,3.0,3.0,3.0,3.0,0.10350000000000004,0.1256666666666667,0.10950000000000004,0.10950000000000004,0.10950000000000004,0.10950000000000004,0.10950000000000004,0.10950000000000004
SAC,2019,14,14,0,10.0,13.459208472436247,0.04761974487811947,-0.5407915275637531,2.4306717409291254,-0.222486450332876,0.431,0,0.476,0.431,0.4093333333333333,0.45325,0.45325,0.45325,0.45325,0.45325,0.45325,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,-0.044999999999999984,-0.06666666666666665,-0.022749999999999992,-0.022749999999999992,-0.022749999999999992,-0.022749999999999992,-0.022749999999999992,-0.022749999999999992
PHX,2018,1,1,0,250.0,2.652965883294746,0.6402729785024232,1.6529658832947458,1.2047705246457303,1.3720172011851053,0.232,0,0.256,0.34900000000000003,0.4686666666666666,0.5465,0.5469999999999999,0.5469999999999999,0.5469999999999999,0.5469999999999999,0.5469999999999999,0.0,1.3333333333333333,1.5,1.6,1.6,1.6,1.6,1.6,0.09300000000000003,0.21266666666666662,0.2905,0.2909999999999999,0.2909999999999999,0.2909999999999999,0.2909999999999999,0.2909999999999999
DAL,2018,3,5,-2,138.0,3.5441183556979228,0.4222752178296959,-1.4558816443020772,1.4805218789843917,-0.983357061430786,0.402,0,0.293,0.48750000000000004,0.5193333333333333,0.548,0.531,0.531,0.531,0.531,0.531,0.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,0.19450000000000006,0.22633333333333333,0.25500000000000006,0.23800000000000004,0.23800000000000004,0.23800000000000004,0.23800000000000004,0.23800000000000004
ATL,2018,4,3,1,137.0,3.8430090466718414,0.4198273796309712,0.8430090466718414,1.716980346697082,0.4909835155035523,0.354,0,0.293,0.3265,0.4073333333333333,0.4365,0.4492,0.4492,0.4492,0.4492,0.4492,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03350000000000003,0.11433333333333334,0.14350000000000002,0.1562,0.1562,0.1562,0.1562,0.1562
ORL,2018,5,6,-1,88.0,4.7002267500177695,0.2884581073786934,-1.2997732499822305,1.8189923270632515,-0.7145567524634389,0.512,1,0.305,0.482,0.4186666666666667,0.381,0.38780000000000003,0.38780000000000003,0.38780000000000003,0.38780000000000003,0.38780000000000003,1.0,0.6666666666666666,0.5,0.4,0.4,0.4,0.4,0.4,0.177,0.1136666666666667,0.07600000000000001,0.08280000000000004,0.08280000000000004,0.08280000000000004,0.08280000000000004,0.08280000000000004
CHI,2018,6,7,-1,53.0,5.732673284054501,0.1813128618881915,-1.267326715945499,1.8264507813137911,-0.6938740035654799,0.268,0,0.329,0.30300000000000005,0.3456666666666666,0.3995,0.41720000000000007,0.41720000000000007,0.41720000000000007,0.41720000000000007,0.41720000000000007,0.0,0.0,0.25,0.2,0.2,0.2,0.2,0.2,-0.025999999999999968,0.016666666666666607,0.07050000000000001,0.08820000000000006,0.08820000000000006,0.08820000000000006,0.08820000000000006,0.08820000000000006
SAC,2018,7,2,5,53.0,6.392767359362456,0.1813128618881915,4.392767359362456,2.0980491322141375,2.093739032091508,0.476,0,0.329,0.4535,0.446,0.426,0.45779999999999993,0.45779999999999993,0.45779999999999993,0.45779999999999993,0.45779999999999993,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.1245,0.11699999999999999,0.09699999999999998,0.12879999999999991,0.12879999999999991,0.12879999999999991,0.12879999999999991,0.12879999999999991
BKN,2018,8,8,0,28.0,7.630517970180939,0.0984709796718568,-0.36948202981906064,1.8797313910832052,-0.19656107865823566,0.512,1,0.341,0.499,0.555,0.5505,0.5502,0.5502,0.5502,0.5502,0.5502,1.0,1.3333333333333333,1.25,1.2,1.2,1.2,1.2,1.2,0.15799999999999997,0.21400000000000002,0.20949999999999996,0.2092,0.2092,0.2092,0.2092,0.2092
NYK,2018,9,9,0,17.0,8.744524647665457,0.060470819841973375,-0.25547535233454255,1.72240063344513,-0.14832516162255646,0.207,0,0.354,0.2625,0.36466666666666664,0.38625,0.4236,0.4236,0.4236,0.4236,0.4236,0.0,0.3333333333333333,0.25,0.6,0.6,0.6,0.6,0.6,-0.09149999999999997,0.010666666666666658,0.03225,0.0696,0.0696,0.0696,0.0696,0.0696
